DamName,DamType,Province,DamLink,DamDescription
下苇甸水电站,注册电站3座,北京市,http://www.dam.com.cn/damView/view.jsp?id=1109,"<td class=""nr3"" align=""left""><p>　　下苇甸水电站是以发电为主的中型电站，引水式布置。拦河坝位于北京门头沟区永定河官厅山峡内落坡岭火车站附近，距官厅水库坝址下游78km，距珠窝拦河坝下游38km。电站装机容量30MW，水库总库容377万m<sup>3</sup>,为不完全日调节水库。下苇甸水电站为三等工程，拦河坝设计为三级建筑物，其设计洪水标准为50年一遇洪水（3550m<sup>3</sup>/s），200年一遇洪水校核（5100m<sup>3</sup>/s）。</p>
<p>    电站枢纽建筑物有拦河坝、引水系统、发电厂房、开关站等建筑物。拦河坝为混凝土重力坝，由16个坝段组成，包括中间12个溢流坝段，1个过渡坝段，左岸冲沙底孔坝段和左、右岸非溢流坝段。坝顶高程204m，最大坝高19.5m，坝顶长220.75m。正常蓄水位202m。泄水建筑物包括左3孔、右9孔溢流坝和2孔冲沙底孔，其中溢流坝段长164.3m，均由弧形闸门控制；左3孔弧形门尺寸为12×6.5m（宽×高），右9孔弧形门尺寸为10×8.1m（宽×高），最大单宽流量分别为26.6m<sup>3</sup>/s和32.2m<sup>3</sup>/s；冲沙底孔由平板闸门控制，闸门尺寸为2.1×2.1m（宽×高），最大下泄流量74m<sup>3</sup>/s，采用底流消能。</p>
<p>    下苇甸工程于1971年1月开工，1975年12月蓄水。1976年4月14日由于丰沙铁路护坡滑坡而放空水库，同年7月16日再次下闸蓄水运行至今。</p></td>"
塔贫山水电站,其他电站8座,内蒙古,http://www.dam.com.cn/damView/view.jsp?id=1736,No description
腰板河水电站,其他电站8座,内蒙古,http://www.dam.com.cn/damView/view.jsp?id=1734,No description
牛栏口水电站,注册电站20座,重庆市,http://www.dam.com.cn/damView/view.jsp?id=1240,No description
朱杨溪水电站,其他电站26座,重庆市,http://www.dam.com.cn/damView/view.jsp?id=2603,No description
舟白水电站,其他电站26座,重庆市,http://www.dam.com.cn/damView/view.jsp?id=2115,No description
丰满水电站,其他电站3座,吉林省,http://www.dam.com.cn/damView/view.jsp?id=1092,No description
丰满(重建)水电站,其他电站3座,吉林省,http://www.dam.com.cn/damView/view.jsp?id=1743,No description
渭源(老虎哨）水电站,其他电站3座,吉林省,http://www.dam.com.cn/damView/view.jsp?id=1744,No description
东张水库,水利口管辖电站79座,福建省,http://www.dam.com.cn/damView/view.jsp?id=3122,No description
柏步水电站,其他电站12座,福建省,http://www.dam.com.cn/damView/view.jsp?id=3110,No description
汀江回龙水电站,水利口管辖电站79座,福建省,http://www.dam.com.cn/damView/view.jsp?id=3098,No description
莒口水电站,水利口管辖电站79座,福建省,http://www.dam.com.cn/damView/view.jsp?id=3095,No description
鸭河口水电站,其他电站1座,河南省,http://www.dam.com.cn/damView/view.jsp?id=1962,No description
绩溪抽水蓄能电站,其他电站5座,安徽省,http://www.dam.com.cn/damView/view.jsp?id=2024,No description
